id,en,zh-HK,zh-Hant,zh-Hans
Header.HKPF,Hong Kong Police Force,香港警務處,香港警務處,香港警务处
Header.DigitalServicesLogon,Digital Services Logon,數碼服務登入,數碼服務登入,数码服务登入
login.DigitalServicesLogon,HKPF Digital Services Logon,香港警務處數碼服務登入,香港警務處數碼服務登入,香港警务处数码服务登入
login.Login,Login,登入,登入,登入
login.YourEmail,Your Email,您的電郵地址,您的電郵地址,您的电邮地址
login.Password,Password,密碼,密碼,密码
login.Register,Register,新用戶註冊,新用戶註冊,新用户注册
login.ForgotPassword,Forgot Password,忘記密碼,忘記密碼,忘记密码
login.YouCanAlsoLoginWith,You can also login with,您也可以使用以下方式登錄,您也可以使用以下方式登錄,您也可以使用以下方式登录
login.Or,OR,或,或,或
login.MoreInfo,More Info,了解更多,了解更多,了解更多
login.Biometric,Login with biometric,登入,生物辨識登入,生物识别登入
login.BiometricNew.text1,Login with ,,,
login.BiometricNew.text2,, 登入, 登入, 登入
login.iamSmart,Login with iAM Smart,智方便登入,智方便登入,智方便登入
login.Enquiry,Enquiry,查詢,查詢,查询
login.EmailError1,Please enter your email.,請輸入您的電郵。,請輸入您的電郵。,请输入您的电邮。 
login.EmailError2,You have entered an invalid email address. Please try again. ,您輸入的電郵地址無效，請重新輸入。 ,您輸入的電郵地址無效，請重新輸入。 ,您输入的电邮地址无效，请重新输入。 
login.PasswordError1,Please enter your password. ,請輸入您的密碼。 ,請輸入您的密碼。 ,请输入您的密码。
login.PostError1,You have entered an invalid email address or incorrect password. Please try again.,您輸入的電郵地址或密碼錯誤，請再試一遍。,您輸入的電郵地址或密碼錯誤，請再試一遍。,您输入的电邮地址或密码错误，请再试一遍。
,,,,
Menu,Menu,選單,選單,选单
Setting,Setting,設置,設置,设置
Important Notices,Important Notices,重要告示,重要告示,重要告示
Privacy Policy,Privacy Policy,私隱政策,私隱政策,私隐政策
FAQs,FAQs,常見問題,常見問題,常见问题
Accessibility Design,Accessibility Design,無障礙設計,無障礙設計,无障碍设计
AccessibilityDesign.text,"This mobile app has been incorporated with accessibility design as appropriate. Should you 
any enquires or comments on its accessibility, please contact us by phone at 8226 1886 or email at equiry@police.gov.hk.",本移動應用程式已根據需要融入無障礙設計。如對其無障礙功能有任何疑問或意見，請透過電話 8226 1886 或電子郵件 equiry@police.gov.hk 與我們聯繫。 ,本移動應用程式已根據需要融入無障礙設計。如對其無障礙功能有任何疑問或意見，請透過電話 8226 1886 或電子郵件 equiry@police.gov.hk 與我們聯繫。 ,本移动应用程式已根据需要融入无障碍设计。 如对其无障碍功能有任何疑问或意见，请透过电话 8226 1886 或电子邮件 equiry@police.gov.hk 与我们联系。
About This App,About This App,關於本程式,關於本程式,关于本程式
AboutThisApp.text,"The Hong Kong Police Force - The Government of the Hong Kong Special Administrative Region
Digital Services Logon App","香港警務處 - 香港特別行政區政府
數碼服務登入應用程式","香港警務處 - 香港特別行政區政府
數碼服務登入應用程式","香港警务处 - 香港特别行政区政府
数字服务登录应用程序"
Logout,Logout,登出,登出,登出
Home,Home,主頁,主頁,主页
Account Management,Account Management,帳戶管理,帳戶管理,账户管理
Profile Update,Profile Update,用戶資料更新,用戶資料更新,用户资料更新
Change Password,Change Password,用戶更改密碼,用戶更改密碼,用户更改密码
Account Deletion,Account Deletion,用戶帳戶刪除,用戶帳戶刪除,用户帐户删除
Account Link Up,Account Link Up,帳戶連結,帳戶連結,账户连接
,,,,
Setting.Languagetoused,Language to used,使用的語言,使用的語言,使用的语言
Setting.BiometricAuthentication,Biometric Authentication,生物辨識驗證,生物辨識驗證,生物识别验证
Setting.BiometricAuthenticationNotAllow.text,You have completed biometric enrollment on this device by using another accounts.,您已使用其他帳戶在此裝置上完成生物辨識註冊。,您已使用其他帳戶在此裝置上完成生物辨識註冊。,您已使用其他帐户在此设备上完成生物识别注册。
,,,,
ServerErrorMessage,"Failed to connect to server, please try again later. ",連接伺服器失敗，請稍後重試。,連接伺服器失敗，請稍後重試。,连接服务器失败，请稍后重试。
,,,,
BiometricNotEnabled.text1,Biometric is not enabled on this device,此設備未啟用生物辨識,此設備未啟用生物辨識,此设备未启用生物识别
BiometricNotEnabled.text2,Please login and enable biometric,請登錄並啟用生物辨識,請登錄並啟用生物辨識,请登录并启用生物识别
BiometricNotEnabled.button1,Return to login page,返回登錄頁面,返回登錄頁面,返回登录页面
BiometricRecordChanged.Text1,Biometric record has been changed,生物辨識記錄已更改,生物辨識記錄已更改,生物识别记录已更改
BiometricRecordChanged.Text2,Please login and enable biometric again,請重新登錄並啟用生物辨識,請重新登錄並啟用生物辨識,请重新登录并启用生物识别
BiometricRecordChanged.Button1,Return to login page,返回登錄頁面,返回登錄頁面,返回登录页面
BiometricRevoked.text,Your device biometric enrollment has been revoked.,您的裝置生物辨識註冊已被撤銷。,您的裝置生物辨識註冊已被撤銷。,您的设备生物识别注册已被撤销。
,,,,
--- Area of Residence ---,--- Area of Residence ---,--- 居住地區 ---,--- 居住地區 ---,--- 居住地区 ---
--- Country ---,--- Country ---,--- 國家 —,--- 國家 ---,--- 国家 ---
--- Area Code ---,--- Area Code ---,--- 區號 ---,--- 區號 ---,--- 区号 ---
The Mainland of China,The Mainland of China,中國內地,中國內地,中国内地
"Hong Kong, China","Hong Kong, China",中國香港,中國香港,中国香港
"Macao, China","Macao, China",中國澳門,中國澳門,中国澳门
"Taiwan, China","Taiwan, China",中國台灣,中國台灣,中国台湾
Afghanistan,Afghanistan,阿富汗,阿富汗,阿富汗
Albania,Albania,阿爾巴尼亞,阿爾巴尼亞,阿尔巴尼亚
Algeria,Algeria,阿爾及利亞,阿爾及利亞,阿尔及利亚
Andorra,Andorra,安道爾,安道爾,安道尔
Angola,Angola,安哥拉,安哥拉,安哥拉
Antarctica,Antarctica,南極洲,南極洲,南极洲
Argentina,Argentina,阿根廷,阿根廷,阿根廷
Armenia,Armenia,亞美尼亞,亞美尼亞,亚美尼亚
Aruba,Aruba,阿魯巴島,阿魯巴島,阿鲁巴岛
Australia,Australia,澳大利亞,澳大利亞,澳大利亚
Austria,Austria,奧地利,奧地利,奥地利
Azerbaijan,Azerbaijan,阿塞拜疆,阿塞拜疆,阿塞拜疆
Bahrain,Bahrain,巴林,巴林,巴林
Bangladesh,Bangladesh,孟加拉國,孟加拉國,孟加拉国
Belarus,Belarus,白俄羅斯,白俄羅斯,白俄罗斯
Belgium,Belgium,比利時,比利時,比利时
Belize,Belize,伯利茲,伯利茲,伯利兹
Benin,Benin,貝寧,貝寧,贝宁
Bhutan,Bhutan,不丹,不丹,不丹
Bolivia,Bolivia,玻利維亞,玻利維亞,玻利维亚
Bosnia and Herzegovina,Bosnia and Herzegovina,波斯尼亞和黑塞哥維那,波斯尼亞和黑塞哥維那,波斯尼亚和黑塞哥维那
Botswana,Botswana,博茨瓦納,博茨瓦納,博茨瓦纳
Brazil,Brazil,巴西,巴西,巴西
British Indian Ocean Territory,British Indian Ocean Territory,英屬印度洋領地,英屬印度洋領地,英属印度洋领地
Brunei,Brunei,文萊,文萊,文莱
Bulgaria,Bulgaria,保加利亞,保加利亞,保加利亚
Burkina Faso,Burkina Faso,布基納法索,布基納法索,布基纳法索
Burundi,Burundi,布隆迪,布隆迪,布隆迪
Cambodia,Cambodia,柬埔寨,柬埔寨,柬埔寨
Cameroon,Cameroon,喀麥隆,喀麥隆,喀麦隆
Canada,Canada,加拿大,加拿大,加拿大
Cape Verde,Cape Verde,佛得角,佛得角,佛得角
Central African Republic,Central African Republic,中非共和國,中非共和國,中非共和国
Chad,Chad,乍得,乍得,乍得
Chile,Chile,智利,智利,智利
Christmas Island,Christmas Island,聖誕島,聖誕島,圣诞岛
Cocos Islands,Cocos Islands,科科斯群島,科科斯群島,科科斯群岛
Colombia,Colombia,哥倫比亞,哥倫比亞,哥伦比亚
Comoros,Comoros,科摩羅,科摩羅,科摩罗
Cook Islands,Cook Islands,庫克群島,庫克群島,库克群岛
Costa Rica,Costa Rica,哥斯達黎加,哥斯達黎加,哥斯达黎加
Croatia,Croatia,克羅地亞,克羅地亞,克罗地亚
Cuba,Cuba,古巴,古巴,古巴
Curacao,Curacao,庫拉索,庫拉索,库拉索
Cyprus,Cyprus,塞浦路斯,塞浦路斯,塞浦路斯
Czech Republic,Czech Republic,捷克共和國,捷克共和國,捷克共和国
Democratic Republic of the Congo,Democratic Republic of the Congo,剛果民主共和國,剛果民主共和國,刚果民主共和国
Denmark,Denmark,丹麥,丹麥,丹麦
Djibouti,Djibouti,吉布提,吉布提,吉布提
East Timor,East Timor,東帝汶,東帝汶,东帝汶
Ecuador,Ecuador,厄瓜多爾,厄瓜多爾,厄瓜多尔
Egypt,Egypt,埃及,埃及,埃及
El Salvador,El Salvador,薩爾瓦多,薩爾瓦多,萨尔瓦多
Equatorial Guinea,Equatorial Guinea,赤道幾內亞,赤道幾內亞,赤道几内亚
Eritrea,Eritrea,厄立特里亞,厄立特里亞,厄立特里亚
Estonia,Estonia,愛沙尼亞,愛沙尼亞,爱沙尼亚
Ethiopia,Ethiopia,埃塞俄比亞,埃塞俄比亞,埃塞俄比亚
Falkland Islands,Falkland Islands,福克蘭群島,福克蘭群島,福克兰群岛
Faroe Islands,Faroe Islands,法羅群島,法羅群島,法罗群岛
Fiji,Fiji,斐濟,斐濟,斐济
Finland,Finland,芬蘭,芬蘭,芬兰
France,France,法國,法國,法国
French Polynesia,French Polynesia,法屬波利尼西亞,法屬波利尼西亞,法属波利尼西亚
Gabon,Gabon,加蓬,加蓬,加蓬
Gambia,Gambia,岡比亞,岡比亞,冈比亚
Georgia,Georgia,喬治亞州,喬治亞州,乔治亚州
Germany,Germany,德國,德國,德国
Ghana,Ghana,加納,加納,加纳
Gibraltar,Gibraltar,直布羅陀,直布羅陀,直布罗陀
Greece,Greece,希臘,希臘,希腊
Greenland,Greenland,格陵蘭,格陵蘭,格陵兰
Guatemala,Guatemala,危地馬拉,危地馬拉,危地马拉
Guinea,Guinea,幾內亞,幾內亞,几内亚
Guinea-Bissau,Guinea-Bissau,幾內亞比紹,幾內亞比紹,几内亚比绍
Guyana,Guyana,圭亞那,圭亞那,圭亚那
Haiti,Haiti,海地,海地,海地
Honduras,Honduras,洪都拉斯,洪都拉斯,洪都拉斯
Hungary,Hungary,匈牙利,匈牙利,匈牙利
Iceland,Iceland,冰島,冰島,冰岛
India,India,印度,印度,印度
Indonesia,Indonesia,印度尼西亞,印度尼西亞,印度尼西亚
Iran,Iran,伊朗,伊朗,伊朗
Iraq,Iraq,伊拉克,伊拉克,伊拉克
Ireland,Ireland,愛爾蘭,愛爾蘭,爱尔兰
Israel,Israel,以色列,以色列,以色列
Italy,Italy,意大利,意大利,意大利
Ivory Coast,Ivory Coast,象牙海岸,象牙海岸,象牙海岸
Jamaica,Jamaica,牙買加,牙買加,牙买加
Japan,Japan,日本,日本,日本
Jordan,Jordan,約旦,約旦,约旦
Kazakhstan,Kazakhstan,哈薩克斯坦,哈薩克斯坦,哈萨克斯坦
Kenya,Kenya,肯尼亞,肯尼亞,肯尼亚
Kiribati,Kiribati,基里巴斯,基里巴斯,基里巴斯
